username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
ABC News,28785486,2017-10-24 16:50:51,"The torch for the 2018 Winter Olympics in Pyeongchang, South Korea, is lit in Olympia, Greece.... https://t.co/NxF4i6dht6",508,None,12599265,738,0.0,0.0
Olympic Flame,707559273044250625,2017-10-24 10:36:18,Woohoo! @Pyeongchang2018 here I come!  #TorchRelay  Apostolos Angelis (1st torch bearer) #Olympics https://t.co/PM6ZaXXZJe,372,TorchRelay,102098,668,0.0,0.0
Badminton Talk,2941773157,2017-10-29 14:07:28,"6 - Since losing in the 2016 BAC Final, Ahmad/Natsir have won all their 6 finals (Olympics, CHN SSP, HKG SS, INA SSP, WBC, FRA SS). Class.",487,None,59662,178,0.0,1.0
Olympics,52422878,2017-10-24 10:14:15,The #OlympicFlame for @pyeongchang2018 is lit! #TorchRelay https://t.co/6pCQkOLWLd,410,OlympicFlame,5640545,4650,0.0,0.0
Olympics,52422878,2017-10-26 15:58:49,Winning gold 88 years apart. #100m Amsterdam 1928 - Rio 2016 @FastElaine https://t.co/5aEw1n2Shs,168,100m,5640545,4650,0.5,0.75
Olympics,52422878,2017-10-23 16:22:00,Tomorrow the Olympic flame for @PyeongChang2018 will come to life.  Here's a flashback to past torches!... https://t.co/hxU1i7raCc,166,None,5640545,4650,-0.3125,0.25
Olympic Channel,3163717636,2017-10-23 23:00:21,#OnThisDay was the Tokyo 1964 Closing Ceremony. Looks like the spirit of the @Olympics remains the same!... https://t.co/C4JZuZm41M,82,OnThisDay,312708,4893,0.0,0.125
Olympics,52422878,2017-10-24 08:07:11,Watch the lighting ceremony of the #OlympicFlame for @PyeongChang2018 live on @Olympics or @OlympicChannel at 10:00... https://t.co/fTaeO1lIza,146,OlympicFlame,5640545,4650,0.13636363636363635,0.5
Godfred Akoto Boafo,458306908,2017-10-23 09:42:56,Ghana Premier League team Great Olympics entering league center on Sunday. The beliefs that make African football i... https://t.co/WqxPKqdsJc,57,None,52153,1776,0.23333333333333336,0.2833333333333333
Olympic Channel,3163717636,2017-10-24 06:31:01,#OnThisDay Debbie Meyer became the 1st swimmer to win 3 individual in 1 edition of @Olympics. @katieledecky equall... https://t.co/4Yf1HNeg4B,64,OnThisDay,312708,4893,0.4,0.4
AP Europe,834498430986809344,2017-10-23 16:30:17,WATCH: Participants rehearse Winter Olympics flame-lighting ahead of Tuesday ceremony. STORY:... https://t.co/FyJgjZQQfa,50,None,3113,123,0.0,0.0
Sportsnet,21660529,2017-10-23 19:04:59,"""It's gonna be hard for me to watch."" - #LAKings' Drew Doughty on the NHL not going to the Olympics in 2018. https://t.co/s86MRqKZUM",21,LAKings,633202,237,-0.2916666666666667,0.5416666666666666
PyeongChang 2018,83529162,2017-10-24 01:36:48,We'll be on live for the lighting ceremony at 6 p.m. at Korean standard time. #PyeongChang2018 #OlympicTorch... https://t.co/Ar4y6B8Zee,58,PyeongChang2018,198176,2527,0.06818181818181818,0.25
