created,text,retwc,hashtag,followers,friends
2017-08-06 07:03:45,b'What is it? Game of Thrones day!!! #GameOfThrones #GoTS7 #TheSpoilsofWar',0,GameOfThrones,1162,297
2017-08-06 07:03:41,b'RT @AustinJamison1: The Walking Dead/Game of Thrones Character Comparisons https://t.co/un1GWQJhNi',1,None,13547,8045
2017-08-06 07:03:37,b'RT @sarahbee160: Omfg I need the next episode of Game of Thrones already',1,None,690,285
2017-08-06 07:03:36,"b""Most frustrating moment of game of thrones is when Margaery died because she didn't deserve it rip""",0,None,129,95
2017-08-06 07:03:35,"b'RT @THR: #GameOfThrones: @Indyv9 confirms Ellaria Sand\'s fate, weighs in on creating such a ""beautiful scene of revenge"" https://t.co/aGDHx\xe2\x80\xa6'",13,GameOfThrones,362,3112
2017-08-06 07:03:32,b'Game of thrones nailed it \nThis episode was fucking worth it',0,None,95,171
2017-08-06 07:03:31,b'#iPHONE Game Of Thrones S07E04 Torrent Leaks Online Days After HBO Hack https://t.co/hPFNgmUETq #iPHONE',0,iPHONE,644,791
2017-08-06 07:03:24,"b'Game of Thrones episode leaks online, but not because of hackers https://t.co/jzY7HusbcE'",0,None,475,217
2017-08-06 07:03:20,"b'RT @erineeman: Game of Thrones, Episode 4. Oh my god. https://t.co/eEJzgkjmGL'",1,None,202,119
2017-08-06 07:03:18,b'game of thrones is so freaking amazing i cant say it enoguh',0,None,140,306
2017-08-06 07:03:12,"b'Game of Thrones fans : ""All incest are equal, but some incest are more equal than others.""'",0,None,732,275
